cep,address_type,address_name,address,state,district,lat,lng,city,city_ibge,ddd
01231011,Rua,Doutor Gabriel dos Santos,Rua Doutor Gabriel dos Santos,SP,Santa Cecília,-23.536098,-46.6595368,São Paulo,3550308,11
01425080,Rua,Ouro Branco,Rua Ouro Branco,SP,Jardim Paulista,-23.5712433,-46.6620769,São Paulo,3550308,11
03018010,Rua,Coronel Emídio Piedade,Rua Coronel Emídio Piedade,SP,Brás,-23.5290354,-46.6113713,São Paulo,3550308,11
03412060,Rua,Horizonte,Rua Horizonte,SP,Vila Antonina,-23.554512,-46.5513766,São Paulo,3550308,11
03437020,Rua,Frogolino Ferrari,Rua Frogolino Ferrari,SP,Vila Carrão,-23.5559561,-46.5271374,São Paulo,3550308,11
03733000,Avenida,Tarumã,Avenida Tarumã,SP,Vila Pierina,-23.5116741,-46.5269242,São Paulo,3550308,11
04055000,Rua,Fagundes Dias,Rua Fagundes Dias,SP,Saúde,-23.6171898,-46.6411517,São Paulo,3550308,11
04203003,Rua,Bom Pastor,Rua Bom Pastor,SP,Ipiranga,-23.5901388,-46.607101,São Paulo,3550308,11
06186030,Rua,João Luís Dutra,Rua João Luís Dutra,SP,Quitaúna,-23.5333891,-46.8114587,Osasco,3534401,11
06502345,Rua,Japão,Rua Japão,SP,Jardim São Luís,-23.4469501,-46.9271066,Santana de Parnaíba,3547304,11
09070590,Rua,Jaguará,Rua Jaguará,SP,Campestre,-23.6445199,-46.5491667,Santo André,3547809,11
13086906,Avenida,"Engenheiro Luiz Antônio Laloni, 321","Avenida Engenheiro Luiz Antônio Laloni, 321",SP,Tijuco das Telhas,-22.7961951,-47.0361345,Campinas,3509502,19
13295000,,,,SP,,-23.15246,-47.05794,Itupeva,3524006,11
13455035,Rua,Louveira,Rua Louveira,SP,Jardim das Turmalinas,-22.7416,-47.35761,Santa Bárbara DOeste,3545803,19
13460000,,,,SP,,-22.77953,-47.29157,Nova Odessa,3533403,19
13465150,Rua,Presidente Vargas,Rua Presidente Vargas,SP,Vila Pavan,-22.745903,-47.3325433,Americana,3501608,19
13468700,Rua,Izolina Geminiani Rosa,Rua Izolina Geminiani Rosa,SP,Jardim Brasília,-22.7612811,-47.3505807,Americana,3501608,19
13477090,Rua,Antônio Nunes,Rua Antônio Nunes,SP,Campo Limpo,-22.7351812,-47.307172,Americana,3501608,19
13477696,Rua,Realização,Rua Realização,SP,Jardim Boer I,-22.74097,-47.2920093,Americana,3501608,19
13478280,Rua,Brasília,Rua Brasília,SP,Jardim da Colina,-22.7401107,-47.3157777,Americana,3501608,19
14026578,Rua,Doutor Mário de Assis Moura,Rua Doutor Mário de Assis Moura,SP,Nova Aliança,-21.2147769,-47.81934,Ribeirão Preto,3543402,16
14091310,Rua,Aldo Focosi,Rua Aldo Focosi,SP,Presidente Médici,-21.1909576,-47.7837205,Ribeirão Preto,3543402,16
14098558,Rua,Flávio Canesin,Rua Flávio Canesin,SP,Recreio das Acácias,-21.2286562,-47.7721721,Ribeirão Preto,3543402,16
14403770,Rua,Ana Damasceno de Pádua,Rua Ana Damasceno de Pádua,SP,Jardim Noêmia,-20.5573837,-47.3711115,Franca,3516200,16
14940000,,,,SP,,-21.75885,-48.82862,Ibitinga,3519600,16
17501360,Avenida,Monte Carmelo,Avenida Monte Carmelo,SP,Fragata,-22.2246357,-49.9397605,Marília,3529005,14
17606290,Rua,São Jorge,Rua São Jorge,SP,Jardim Nossa Senhora de Fátima,-21.9258062,-50.5290284,Tupã,3555000,14
18070705,Rua,Doutor Fernando Soares Fernandes,Rua Doutor Fernando Soares Fernandes,SP,Vila Nova Sorocaba,-23.4740705,-47.4831102,Sorocaba,3552205,15
